model,sequence,avg_iou,miss_rate,center_drift,std_confidence,type
yolo,seq_0,0.9998501626608061,0.0,0.02368045929094449,0.002846686422466492,detector
yolo,seq_1,0.9998470654069883,0.0,0.025470002229824602,0.0028461636543810048,detector
yolo,seq_2,0.9998478825432418,0.0,0.024371614933388082,0.0031127197561371307,detector
yolo,seq_1,0.4313765070134932,50.0,76.33830195830869,0.1814891149760684,detector
yolo,seq_0,0.8448462335116648,6.666666666666667,22.643498564219886,0.2572792763200567,detector
yolo,seq_2,0.8691774570313114,0.0,2.75060840849089,0.028883516810208246,detector
baseline,seq_2,0.8691774570313114,0.0,2.75060840849089,0.028883516810208246,detector
baseline,seq_0,0.8448462335116648,6.666666666666667,22.643498564219886,0.2572792763200567,detector
baseline,seq_1,0.4313765070134932,50.0,76.33830195830869,0.1814891149760684,detector
yolo,seq_0,0.9998848501608062,0.0,0.01916483429094449,0.0028466864224665008,detector
tips,seq_1,0.7327995375048488,10.0,49.01595055428533,0.2318700465381683,detector
tips,seq_0,0.8979120161571541,0.0,1.8648659907647698,0.16427321598954173,detector
tips,seq_2,0.857619665612455,0.0,3.2824536102476425,0.09440332003204617,detector
yolo_tips,seq_0,0.9998848501608062,0.0,0.01916483429094449,0.0028466864224665008,detector
